DateTime,State,Fuel Type,Supply
2/08/2025 19:00,VIC,Wind,318.79
2/08/2025 20:00,VIC,Battery,76.918
2/08/2025 20:00,VIC,Brown coal,4846.776
2/08/2025 20:00,VIC,Gas,397.24
2/08/2025 20:00,VIC,Hydro,1485.343
2/08/2025 20:00,VIC,Solar,0.183
2/08/2025 20:00,VIC,Wind,334.101
2/08/2025 21:00,VIC,Battery,41.823
2/08/2025 21:00,VIC,Brown coal,4859.273
2/08/2025 21:00,VIC,Gas,394.594
2/08/2025 21:00,VIC,Hydro,1491.45
2/08/2025 21:00,VIC,Solar,0.076
2/08/2025 21:00,VIC,Wind,285.671
2/08/2025 22:00,VIC,Battery,31.651
2/08/2025 22:00,VIC,Brown coal,4856.922
2/08/2025 22:00,VIC,Gas,337.888
2/08/2025 22:00,VIC,Hydro,1241.628
2/08/2025 22:00,VIC,Solar,0.013
2/08/2025 22:00,VIC,Wind,336.186
2/08/2025 23:00,VIC,Battery,10.53
2/08/2025 23:00,VIC,Brown coal,4847.924
2/08/2025 23:00,VIC,Gas,278.667
2/08/2025 23:00,VIC,Hydro,1150.043
2/08/2025 23:00,VIC,Solar,0.016
2/08/2025 23:00,VIC,Wind,328.227
